Online Episode,RMSE Regular,MAE,Mean_RMSE_Regular,IAE,IIAE,ISE,IISE,MAE,Online Episode,RMSE Near,MAE,Mean_RMSE_Near,IAE,IIAE,ISE,IISE,Online Episode,RMSE Zero,MAE,Mean_RMSE_Zero,IAE,IIAE,ISE,IISE
1,0.0033968650087242472,0.017587216815542928,0.0045298631827693815,0.9152843165934325,18.887341219665018,0.023666884604220916,0.5268375596923269,0.6158382201923317,1,0.384818498053733,0.6158382201923317,0.09558218275682298,23.230054248112456,323.00888536854546,69.26777264466085,596.5111603973114,1,0.38481850040674803,0.6158382201923317,0.06912774920528697,8.091134139789865,139.01809418816745,2.4000708605151835,34.30538898479517
2,0.005414409435712217,0.03306686021708616,,,,,,0.449242356710801,2,0.27455339685112534,0.4501727224021865,,,,,,2,0.27398427633726985,0.449242356710801,,,,,
3,0.00452823817831557,0.027369951383230895,,,,,,0.32771371602476196,3,0.20070455947579607,0.32907244925518914,,,,,,3,0.19987333667532367,0.32771371602476196,,,,,
4,0.004660289093050008,0.024163783891995805,,,,,,0.23906081938753676,4,0.14665567817417619,0.24054906962230416,,,,,,4,0.14574603111806636,0.23906081938753676,,,,,
5,0.0037600947347039924,0.022772151838351684,,,,,,0.3693840922152858,5,0.23616713584243923,1.6088777084024235,,,,,,5,0.1563090492386096,0.3693840922152858,,,,,
6,0.0037353026538570373,0.01864378348842405,,,,,,0.31942321848017874,6,0.5926914146195961,7.010748931966473,,,,,,6,0.14176314582525082,0.31942321848017874,,,,,
7,0.004337037491051656,0.02447008000922346,,,,,,0.13040494042715978,7,0.08031670845100065,0.1317181860583132,,,,,,7,0.07951386908827049,0.13040494042715978,,,,,
8,0.0036779720065394594,0.01986958936505162,,,,,,0.26023762823619867,8,0.09602914427390147,0.6018379041097702,,,,,,8,0.0801543233830926,0.26023762823619867,,,,,
9,0.004191869889597132,0.020310622324460403,,,,,,0.08226100992797136,9,0.05123460267778197,0.08333434405775719,,,,,,9,0.050574210682164146,0.08226100992797136,,,,,
10,0.004159264927416878,0.024130547065100316,,,,,,0.4257118066001092,10,0.08997099525818035,0.2958624149327536,,,,,,10,0.1285697015727505,0.4257118066001092,,,,,
11,0.003714464942990261,0.018574650897135725,,,,,,0.3064169257723337,11,0.062312683272555326,0.21627214784452203,,,,,,11,0.07923149674789733,0.3064169257723337,,,,,
