Online Episode,RMSE Regular,MAE,Mean_RMSE_Regular,IAE,IIAE,ISE,IISE,MAE,Online Episode,RMSE Near,MAE,Mean_RMSE_Near,IAE,IIAE,ISE,IISE,Online Episode,RMSE Zero,MAE,Mean_RMSE_Zero,IAE,IIAE,ISE,IISE
1,0.003689076606002482,0.02310737081843338,0.004601996668530712,0.43013623680553104,4.908731488722712,0.009977372332638543,0.1214441716104615,0.623838141353706,1,0.38452589574690854,0.623838141353706,0.1469658290443806,18.679898141860736,161.2093087561113,69.06065197518627,523.6435566630167,1,0.38452589574690854,0.623838141353706,0.10281169908362842,5.304705678045196,45.93320924079548,1.798340419234092,12.926361873924806
2,0.0029293751005191482,0.014156846792497277,,,,,,0.4635190905271312,2,0.2744792987894187,0.4719586606563131,,,,,,2,0.26916670557677524,0.4635190905271312,,,,,
3,0.0027171140535910527,0.01511647100556307,,,,,,0.331090743215272,3,0.20063398475342567,0.34353683453291584,,,,,,3,0.19294082547129754,0.331090743215272,,,,,
4,0.002625846584176756,0.016950603390937125,,,,,,0.27982932415881534,4,0.14690699739193508,0.29333437715283806,,,,,,4,0.13855788389842244,0.27982932415881534,,,,,
5,0.0025142586720972595,0.014085424938078572,,,,,,0.36211890264830626,5,0.23601713914810593,1.6070918450532274,,,,,,5,0.14975683634084266,0.36211890264830626,,,,,
6,0.0033478712210320677,0.016269620506384364,,,,,,0.31085101152567907,6,0.5915418897736698,6.998212107355515,,,,,,6,0.1350832447686784,0.31085101152567907,,,,,
7,0.003981996356809063,0.01777413370240899,,,,,,0.1816515689783652,7,0.08063128865347766,0.1930047179868225,,,,,,7,0.07339450653091373,0.1816515689783652,,,,,
8,0.0030451230676586945,0.01625951639541945,,,,,,0.2573562888610588,8,0.09628166576931374,0.6028643845720841,,,,,,8,0.07445257954947884,0.2573562888610588,,,,,
9,0.0032209223165415037,0.016168154636974075,,,,,,0.10803574783687953,9,0.05126148237810059,0.11693409066661065,,,,,,9,0.04537872518563271,0.10803574783687953,,,,,
10,0.004099399481981695,0.020598305337082734,,,,,,0.4228886889296248,10,0.08908665455453232,0.29153693934761643,,,,,,10,0.12637115790126105,0.4228886889296248,,,,,
11,0.00446927213694944,0.0191795484684191,,,,,,0.29908936008015474,11,0.061745253465234747,0.21439017854313702,,,,,,11,0.07620036558278635,0.29908936008015474,,,,,
12,0.0064444202022331,0.035117873368586544,,,,,,0.26217821949753906,12,0.14948901505624407,1.4771853872700933,,,,,,12,0.07806104641958744,0.26217821949753906,,,,,
13,0.007072185517838721,0.031011489291853794,,,,,,0.22506036618680064,13,0.2880458019366012,3.573068139215273,,,,,,13,0.07384278872774551,0.22506036618680064,,,,,
14,0.007562210040514233,0.0301081124032333,,,,,,0.13130000160173683,14,0.026416727941131098,0.11085354889583071,,,,,,14,0.028983230390693816,0.13130000160173683,,,,,
15,0.007312843888277372,0.029956656311415752,,,,,,0.1884951994297291,15,0.11551776650206404,1.0077227056982003,,,,,,15,0.046622445106405744,0.1884951994297291,,,,,
16,0.00654336530897689,0.02106209315949753,,,,,,0.06284512497191919,16,0.01270613978462058,0.06312675028190709,,,,,,16,0.011393077182291309,0.06284512497191919,,,,,
17,0.005534937988800533,0.024640970664544765,,,,,,0.06048490052770711,17,0.00982448618202479,0.06304419331688332,,,,,,17,0.008620284542620494,0.06048490052770711,,,,,
18,0.004797773137939786,0.019993047121052765,,,,,,0.29804069791495824,18,0.045528601836986884,0.2470583721945655,,,,,,18,0.05170677707037596,0.29804069791495824,,,,,
19,0.005315759169772494,0.023644864751055317,,,,,,0.08425533999243057,19,0.011772762446995905,0.08260893689680737,,,,,,19,0.011563324497215578,0.08425533999243057,,,,,
20,0.004816182518901946,0.02493513374209308,,,,,,0.35177695980738244,20,0.06690372877682053,0.29852783087038626,,,,,,20,0.07961228118263482,0.35177695980738244,,,,,
