Online Episode,RMSE Regular,MAE,Mean_RMSE_Regular,IAE,IIAE,ISE,IISE,MAE,Online Episode,RMSE No_STER,MAE,Mean_RMSE_No_STER,IAE,IIAE,ISE,IISE,Online Episode,RMSE No_PI,MAE,Mean_RMSE_No_PI,IAE,IIAE,ISE,IISE,Online Episode,RMSE Near,MAE,Mean_RMSE_Near,IAE,IIAE,ISE,IISE,Online Episode,RMSE Zero,MAE,Mean_RMSE_Zero,IAE,IIAE,ISE,IISE
18,0.00534025093925413,0.040581934857068624,,,,,,0.5529341252963467,18,0.010310649189945011,0.08615236104895851,,,,,,18,0.7905808652456933,3.5803793232413907,,,,,,18,0.4787310116243442,0.5529341252963467,,,,,,18,0.4787310116243442,0.5529341252963467,,,,,
19,0.005142099351468635,0.04405160218037274,,,,,,0.5280078036943467,19,0.010634225409828738,0.08403566037582433,,,,,,19,0.27088885053399664,1.6946866635696591,,,,,,19,0.6298163526098052,2.885073522427011,,,,,,19,0.4441760283474943,0.5280078036943467,,,,,
20,0.0051796627562869174,0.04544530432194982,,,,,,0.5036387264030355,20,0.009419089990978792,0.07875797334342316,,,,,,20,0.16536303335611183,0.8685414433365111,,,,,,20,1.1613453186982647,9.324025330612448,,,,,,20,0.4131912597801469,0.5036387264030355,,,,,
21,0.005460328044552654,0.04376202971972276,,,,,,0.4551077568278705,21,0.01049005799576222,0.07098812120825482,,,,,,21,0.35499451842372315,1.192029522563932,,,,,,21,0.39538770682473534,1.0241009980146139,,,,,,21,0.3824486869540933,0.4551077568278705,,,,,
22,0.005181671139073868,0.04520171965995523,,,,,,0.4293476078842109,22,0.010398741886903358,0.0789439125382625,,,,,,22,0.26055557390074446,0.8905667930286527,,,,,,22,0.4951565409069355,1.769681519203949,,,,,,22,0.35556205200547,0.4293476078842109,,,,,
23,0.005202067489204204,0.045653865024263496,,,,,,0.4058551519660294,23,0.010808697872240817,0.07984222611741032,,,,,,23,0.434522447661522,2.213432187067654,,,,,,23,0.5189803914087926,2.312457892383968,,,,,,23,0.33365493623900205,0.4058551519660294,,,,,
24,0.00548568535464916,0.04526488332145462,,,,,,0.35213530958557016,24,0.010483620235727034,0.07656650213024907,,,,,,24,0.4957693164447633,1.9743354586999526,,,,,,24,0.29827642292324286,0.35213530958557016,,,,,,24,0.29895597450492867,0.35213530958557016,,,,,
25,0.005287032785865565,0.04500156195573268,,,,,,0.3273776148593903,25,0.010146693243593508,0.07804310420780469,,,,,,25,0.6841733418036449,2.6643441392173886,,,,,,25,0.41421230175859725,1.6805627139308879,,,,,,25,0.2685749418296908,0.3273776148593903,,,,,
26,0.0054914361382328684,0.04163982956063972,,,,,,0.28663902206697855,26,0.011138260880354349,0.0839915968064866,,,,,,26,2.6848185959886495,12.292105708813667,,,,,,26,0.22357662548666116,0.28663902206697855,,,,,,26,0.2243251100020252,0.28663902206697855,,,,,
27,0.005920558219606247,0.04208872982714418,,,,,,0.26914841404663914,27,0.011212439960284197,0.08573427186967564,,,,,,27,1.8284123960627285,3.9031398975297944,,,,,,27,0.21060428611144227,0.3606898500787241,,,,,,27,0.20741345186787033,0.26914841404663914,,,,,
28,0.005274605367139169,0.04331437216980749,,,,,,0.25252764766417846,28,0.010667684320912309,0.08563421132214621,,,,,,28,0.6656659691893749,2.83346752207333,,,,,,28,0.25079051205100605,0.8987795006705346,,,,,,28,0.1910659726386121,0.25252764766417846,,,,,
29,0.0055777294253786325,0.04795057609661857,,,,,,0.22229077256212237,29,0.011112639667403963,0.08151807778366416,,,,,,29,0.837572560730792,4.881639244334277,,,,,,29,0.17911859252978968,0.49992965995834826,,,,,,29,0.17030472557764517,0.22229077256212237,,,,,
30,0.005536894111359187,0.04386796501501955,,,,,,0.19598383161060928,30,0.010798164452791987,0.08551270144542844,,,,,,30,1.4943183177685124,4.508715787351103,,,,,,30,0.15177538877623709,0.19598383161060928,,,,,,30,0.15246043360335293,0.19598383161060928,,,,,
